Dataset,Analysis_Type,Feature_or_Method,Method,Pct_Outliers
PTB-XL Original,Univariate,R_Amp_V6_iqr,IQR,9.19
PTB-XL Original,Univariate,R_Amp_V6_iqr,Z-Score,1.74
PTB-XL Original,Univariate,R_Amp_V6_iqr,MAD,9.24
PTB-XL Original,Univariate,R_Amp_aVF,IQR,0.85
PTB-XL Original,Univariate,R_Amp_aVF,Z-Score,0.67
PTB-XL Original,Univariate,R_Amp_aVF,MAD,0.2
PTB-XL Original,Univariate,R_Amp_aVF_count,IQR,1.38
PTB-XL Original,Univariate,R_Amp_aVF_count,Z-Score,1.38
PTB-XL Original,Univariate,R_Amp_aVF_count,MAD,0.69
PTB-XL Original,Univariate,R_Amp_aVF_iqr,IQR,7.12
PTB-XL Original,Univariate,R_Amp_aVF_iqr,Z-Score,1.2
PTB-XL Original,Univariate,R_Amp_aVF_iqr,MAD,5.18
PTB-XL Original,Univariate,R_Amp_aVL,IQR,2.67
PTB-XL Original,Univariate,R_Amp_aVL,Z-Score,0.57
PTB-XL Original,Univariate,R_Amp_aVL,MAD,0.68
PTB-XL Original,Univariate,R_Amp_aVL_count,IQR,1.38
PTB-XL Original,Univariate,R_Amp_aVL_count,Z-Score,1.38
PTB-XL Original,Univariate,R_Amp_aVL_count,MAD,0.69
PTB-XL Original,Univariate,R_Amp_aVL_iqr,IQR,6.38
PTB-XL Original,Univariate,R_Amp_aVL_iqr,Z-Score,1.37
PTB-XL Original,Univariate,R_Amp_aVL_iqr,MAD,4.89
PTB-XL Original,Univariate,R_Amp_aVR,IQR,6.06
PTB-XL Original,Univariate,R_Amp_aVR,Z-Score,1.84
PTB-XL Original,Univariate,R_Amp_aVR,MAD,3.98
PTB-XL Original,Univariate,R_Amp_aVR_count,IQR,1.38
PTB-XL Original,Univariate,R_Amp_aVR_count,Z-Score,1.38
PTB-XL Original,Univariate,R_Amp_aVR_count,MAD,0.69
PTB-XL Original,Univariate,R_Amp_aVR_iqr,IQR,6.98
PTB-XL Original,Univariate,R_Amp_aVR_iqr,Z-Score,0.97
PTB-XL Original,Univariate,R_Amp_aVR_iqr,MAD,7.45
PTB-XL Original,Univariate,ST_Elev_I,IQR,7.81
PTB-XL Original,Univariate,ST_Elev_I,Z-Score,0.38
PTB-XL Original,Univariate,ST_Elev_I,MAD,4.87
PTB-XL Original,Univariate,ST_Elev_II,IQR,8.01
PTB-XL Original,Univariate,ST_Elev_II,Z-Score,0.5
PTB-XL Original,Univariate,ST_Elev_II,MAD,3.96
PTB-XL Original,Univariate,ST_Elev_III,IQR,2.54
PTB-XL Original,Univariate,ST_Elev_III,Z-Score,0.49
PTB-XL Original,Univariate,ST_Elev_III,MAD,0.62
PTB-XL Original,Univariate,ST_Elev_III_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_III_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_III_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_III_iqr,IQR,6.11
PTB-XL Original,Univariate,ST_Elev_III_iqr,Z-Score,1.9
PTB-XL Original,Univariate,ST_Elev_III_iqr,MAD,5.75
PTB-XL Original,Univariate,ST_Elev_II_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_II_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_II_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_II_iqr,IQR,8.84
PTB-XL Original,Univariate,ST_Elev_II_iqr,Z-Score,2.19
PTB-XL Original,Univariate,ST_Elev_II_iqr,MAD,9.39
PTB-XL Original,Univariate,ST_Elev_I_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_I_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_I_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_I_iqr,IQR,8.1
PTB-XL Original,Univariate,ST_Elev_I_iqr,Z-Score,2.28
PTB-XL Original,Univariate,ST_Elev_I_iqr,MAD,8.52
PTB-XL Original,Univariate,ST_Elev_V1,IQR,1.33
PTB-XL Original,Univariate,ST_Elev_V1,Z-Score,0.69
PTB-XL Original,Univariate,ST_Elev_V1,MAD,0.66
PTB-XL Original,Univariate,ST_Elev_V1_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V1_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V1_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V1_iqr,IQR,6.31
PTB-XL Original,Univariate,ST_Elev_V1_iqr,Z-Score,1.86
PTB-XL Original,Univariate,ST_Elev_V1_iqr,MAD,6.78
PTB-XL Original,Univariate,ST_Elev_V2,IQR,13.71
PTB-XL Original,Univariate,ST_Elev_V2,Z-Score,0.74
PTB-XL Original,Univariate,ST_Elev_V2,MAD,9.69
PTB-XL Original,Univariate,ST_Elev_V2_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V2_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V2_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V2_iqr,IQR,9.58
PTB-XL Original,Univariate,ST_Elev_V2_iqr,Z-Score,1.94
PTB-XL Original,Univariate,ST_Elev_V2_iqr,MAD,11.28
PTB-XL Original,Univariate,ST_Elev_V3,IQR,13.26
PTB-XL Original,Univariate,ST_Elev_V3,Z-Score,0.74
PTB-XL Original,Univariate,ST_Elev_V3,MAD,9.28
PTB-XL Original,Univariate,ST_Elev_V3_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V3_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V3_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V3_iqr,IQR,9.49
PTB-XL Original,Univariate,ST_Elev_V3_iqr,Z-Score,1.91
PTB-XL Original,Univariate,ST_Elev_V3_iqr,MAD,10.42
PTB-XL Original,Univariate,ST_Elev_V4,IQR,12.14
PTB-XL Original,Univariate,ST_Elev_V4,Z-Score,0.57
PTB-XL Original,Univariate,ST_Elev_V4,MAD,8.4
PTB-XL Original,Univariate,ST_Elev_V4_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V4_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V4_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V4_iqr,IQR,9.99
PTB-XL Original,Univariate,ST_Elev_V4_iqr,Z-Score,2.38
PTB-XL Original,Univariate,ST_Elev_V4_iqr,MAD,10.93
PTB-XL Original,Univariate,ST_Elev_V5,IQR,8.82
PTB-XL Original,Univariate,ST_Elev_V5,Z-Score,0.45
PTB-XL Original,Univariate,ST_Elev_V5,MAD,5.75
PTB-XL Original,Univariate,ST_Elev_V5_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V5_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V5_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V5_iqr,IQR,9.48
PTB-XL Original,Univariate,ST_Elev_V5_iqr,Z-Score,2.29
PTB-XL Original,Univariate,ST_Elev_V5_iqr,MAD,10.43
PTB-XL Original,Univariate,ST_Elev_V6,IQR,6.14
PTB-XL Original,Univariate,ST_Elev_V6,Z-Score,0.39
PTB-XL Original,Univariate,ST_Elev_V6,MAD,3.01
PTB-XL Original,Univariate,ST_Elev_V6_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_V6_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_V6_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_V6_iqr,IQR,8.63
PTB-XL Original,Univariate,ST_Elev_V6_iqr,Z-Score,2.25
PTB-XL Original,Univariate,ST_Elev_V6_iqr,MAD,9.56
PTB-XL Original,Univariate,ST_Elev_aVF,IQR,4.98
PTB-XL Original,Univariate,ST_Elev_aVF,Z-Score,0.47
PTB-XL Original,Univariate,ST_Elev_aVF,MAD,1.38
PTB-XL Original,Univariate,ST_Elev_aVF_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_aVF_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_aVF_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_aVF_iqr,IQR,7.64
PTB-XL Original,Univariate,ST_Elev_aVF_iqr,Z-Score,2.08
PTB-XL Original,Univariate,ST_Elev_aVF_iqr,MAD,7.71
PTB-XL Original,Univariate,ST_Elev_aVL,IQR,5.16
PTB-XL Original,Univariate,ST_Elev_aVL,Z-Score,0.43
PTB-XL Original,Univariate,ST_Elev_aVL,MAD,1.2
PTB-XL Original,Univariate,ST_Elev_aVL_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_aVL_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_aVL_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_aVL_iqr,IQR,6.22
PTB-XL Original,Univariate,ST_Elev_aVL_iqr,Z-Score,2.05
PTB-XL Original,Univariate,ST_Elev_aVL_iqr,MAD,5.65
PTB-XL Original,Univariate,ST_Elev_aVR,IQR,5.19
PTB-XL Original,Univariate,ST_Elev_aVR,Z-Score,0.78
PTB-XL Original,Univariate,ST_Elev_aVR,MAD,3.46
PTB-XL Original,Univariate,ST_Elev_aVR_count,IQR,17.29
PTB-XL Original,Univariate,ST_Elev_aVR_count,Z-Score,0.18
PTB-XL Original,Univariate,ST_Elev_aVR_count,MAD,16.45
PTB-XL Original,Univariate,ST_Elev_aVR_iqr,IQR,8.25
PTB-XL Original,Univariate,ST_Elev_aVR_iqr,Z-Score,1.95
PTB-XL Original,Univariate,ST_Elev_aVR_iqr,MAD,9.02
PTB-XL Original,Univariate,S_Amp_V1,IQR,11.24
PTB-XL Original,Univariate,S_Amp_V1,Z-Score,2.33
PTB-XL Original,Univariate,S_Amp_V1,MAD,9.5
PTB-XL Original,Univariate,S_Amp_V1_count,IQR,1.38
PTB-XL Original,Univariate,S_Amp_V1_count,Z-Score,1.38
PTB-XL Original,Univariate,S_Amp_V1_count,MAD,0.69
PTB-XL Original,Univariate,S_Amp_V1_iqr,IQR,9.35
PTB-XL Original,Univariate,S_Amp_V1_iqr,Z-Score,1.84
PTB-XL Original,Univariate,S_Amp_V1_iqr,MAD,8.61
PTB-XL Original,Univariate,S_Amp_V2,IQR,16.49
PTB-XL Original,Univariate,S_Amp_V2,Z-Score,2.77
PTB-XL Original,Univariate,S_Amp_V2,MAD,14.39
PTB-XL Original,Univariate,S_Amp_V2_count,IQR,1.38
PTB-XL Original,Univariate,S_Amp_V2_count,Z-Score,1.38
PTB-XL Original,Univariate,S_Amp_V2_count,MAD,0.69
PTB-XL Original,Univariate,S_Amp_V2_iqr,IQR,9.04
PTB-XL Original,Univariate,S_Amp_V2_iqr,Z-Score,2.0
PTB-XL Original,Univariate,S_Amp_V2_iqr,MAD,9.43
PTB-XL Original,Univariate,S_Amp_V3,IQR,2.06
PTB-XL Original,Univariate,S_Amp_V3,Z-Score,1.04
PTB-XL Original,Univariate,S_Amp_V3,MAD,20.76
PTB-XL Original,Univariate,S_Amp_V3_count,IQR,1.38
PTB-XL Original,Univariate,S_Amp_V3_count,Z-Score,1.38
PTB-XL Original,Univariate,S_Amp_V3_count,MAD,0.69
PTB-XL Original,Univariate,S_Amp_V3_iqr,IQR,9.14
PTB-XL Original,Univariate,S_Amp_V3_iqr,Z-Score,2.05
PTB-XL Original,Univariate,S_Amp_V3_iqr,MAD,8.44
PTB-XL Original,Univariate,T_Amp_I,IQR,2.15
PTB-XL Original,Univariate,T_Amp_I,Z-Score,1.06
PTB-XL Original,Univariate,T_Amp_I,MAD,1.2
PTB-XL Original,Univariate,T_Amp_II,IQR,2.12
PTB-XL Original,Univariate,T_Amp_II,Z-Score,0.79
PTB-XL Original,Univariate,T_Amp_II,MAD,0.74
PTB-XL Original,Univariate,T_Amp_III,IQR,5.97
PTB-XL Original,Univariate,T_Amp_III,Z-Score,1.45
PTB-XL Original,Univariate,T_Amp_III,MAD,2.92
PTB-XL Original,Univariate,T_Amp_III_count,IQR,1.38
PTB-XL Original,Univariate,T_Amp_III_count,Z-Score,1.38
PTB-XL Original,Univariate,T_Amp_III_count,MAD,0.69
PTB-XL Original,Univariate,T_Amp_III_iqr,IQR,7.56
PTB-XL Original,Univariate,T_Amp_III_iqr,Z-Score,1.72
PTB-XL Original,Univariate,T_Amp_III_iqr,MAD,7.24
PTB-XL Original,Univariate,T_Amp_II_count,IQR,1.38
PTB-XL Original,Univariate,T_Amp_II_count,Z-Score,1.38
PTB-XL Original,Univariate,T_Amp_II_count,MAD,0.69
PTB-XL Original,Univariate,T_Amp_II_iqr,IQR,7.82
PTB-XL Original,Univariate,T_Amp_II_iqr,Z-Score,1.65
PTB-XL Original,Univariate,T_Amp_II_iqr,MAD,6.94
PTB-XL Original,Univariate,T_Amp_I_count,IQR,1.38
PTB-XL Original,Univariate,T_Amp_I_count,Z-Score,1.38
PTB-XL Original,Univariate,T_Amp_I_count,MAD,0.69
PTB-XL Original,Univariate,T_Amp_I_iqr,IQR,7.25
PTB-XL Original,Univariate,T_Amp_I_iqr,Z-Score,1.67
PTB-XL Original,Univariate,T_Amp_I_iqr,MAD,6.15
PTB-XL Original,Univariate,T_Amp_V1,IQR,5.91
PTB-XL Original,Univariate,T_Amp_V1,Z-Score,1.74
PTB-XL Original,Univariate,T_Amp_V1,MAD,3.72
PTB-XL Original,Univariate,T_Amp_V1_count,IQR,1.38
PTB-XL Original,Univariate,T_Amp_V1_count,Z-Score,1.38
PTB-XL Original,Univariate,T_Amp_V1_count,MAD,0.69
PTB-XL Original,Univariate,T_Amp_V1_iqr,IQR,9.58
PTB-XL Original,Univariate,T_Amp_V1_iqr,Z-Score,1.74
